"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006/2007","Manitoba","2016A000246","Education","Current dollars","75","units","0","v62427579","8.1","6697","","","","0"
"2007/2008","Manitoba","2016A000246","Education","Current dollars","75","units","0","v62427579","8.1","6650","","","","0"
"2008/2009","Manitoba","2016A000246","Education","Current dollars","75","units","0","v62427579","8.1","7604","","","","0"
"2009/2010","Manitoba","2016A000246","Education","Current dollars","75","units","0","v62427579","8.1","8115","","","","0"
"2010/2011","Manitoba","2016A000246","Education","Current dollars","75","units","0","v62427579","8.1","8669","","","","0"
"2011/2012","Manitoba","2016A000246","Education","Current dollars","75","units","0","v62427579","8.1","8797","","","","0"
"2012/2013","Manitoba","2016A000246","Education","Current dollars","75","units","0","v62427579","8.1","7617","","","","0"
"2013/2014","Manitoba","2016A000246","Education","Current dollars","75","units","0","v62427579","8.1","6512","","","","0"
"2014/2015","Manitoba","2016A000246","Education","Current dollars","75","units","0","v62427579","8.1","11953","","","","0"
"2015/2016","Manitoba","2016A000246","Education","Current dollars","75","units","0","v62427579","8.1","6714","","","","0"
"2016/2017","Manitoba","2016A000246","Education","Current dollars","75","units","0","v62427579","8.1","7291","","","","0"
"2017/2018","Manitoba","2016A000246","Education","Current dollars","75","units","0","v62427579","8.1","8633","","","","0"
"2018/2019","Manitoba","2016A000246","Education","Current dollars","75","units","0","v62427579","8.1","11507","","","","0"
"2019/2020","Manitoba","2016A000246","Education","Current dollars","75","units","0","v62427579","8.1","11670","","","","0"
"2020/2021","Manitoba","2016A000246","Education","Current dollars","75","units","0","v62427579","8.1","13611","","","","0"
"2021/2022","Manitoba","2016A000246","Education","Current dollars","75","units","0","v62427579","8.1","14078","","","","0"
"2022/2023","Manitoba","2016A000246","Education","Current dollars","75","units","0","v62427579","8.1","15014","","","","0"
"2023/2024","Manitoba","2016A000246","Education","Current dollars","75","units","0","v62427579","8.1","14947","","","","0"
"2024/2025","Manitoba","2016A000246","Education","Current dollars","75","units","0","v62427579","8.1","15460","","","","0"
"2006/2007","Manitoba","2016A000246","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427584","8.2","9507","","","","0"
"2007/2008","Manitoba","2016A000246","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427584","8.2","9408","","","","0"
"2008/2009","Manitoba","2016A000246","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427584","8.2","9509","","","","0"
"2009/2010","Manitoba","2016A000246","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427584","8.2","11259","","","","0"
"2010/2011","Manitoba","2016A000246","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427584","8.2","11843","","","","0"
"2011/2012","Manitoba","2016A000246","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427584","8.2","11976","","","","0"
"2012/2013","Manitoba","2016A000246","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427584","8.2","11451","","","","0"
"2013/2014","Manitoba","2016A000246","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427584","8.2","12157","","","","0"
"2014/2015","Manitoba","2016A000246","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427584","8.2","11845","","","","0"
"2015/2016","Manitoba","2016A000246","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427584","8.2","13738","","","","0"
"2016/2017","Manitoba","2016A000246","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427584","8.2","14693","","","","0"
"2017/2018","Manitoba","2016A000246","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427584","8.2","13945","","","","0"
"2018/2019","Manitoba","2016A000246","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427584","8.2","14777","","","","0"
"2019/2020","Manitoba","2016A000246","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427584","8.2","16025","","","","0"
"2020/2021","Manitoba","2016A000246","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427584","8.2","16757","","","","0"
"2021/2022","Manitoba","2016A000246","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427584","8.2","17275","","","","0"
"2022/2023","Manitoba","2016A000246","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427584","8.2","18214","","","","0"
"2023/2024","Manitoba","2016A000246","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427584","8.2","18535","","","","0"
"2024/2025","Manitoba","2016A000246","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427584","8.2","19310","","","","0"
"2006/2007","Manitoba","2016A000246","Humanities","Current dollars","75","units","0","v62427585","8.3","7844","","","","0"
"2007/2008","Manitoba","2016A000246","Humanities","Current dollars","75","units","0","v62427585","8.3","7136","","","","0"
"2008/2009","Manitoba","2016A000246","Humanities","Current dollars","75","units","0","v62427585","8.3","8903","","","","0"
"2009/2010","Manitoba","2016A000246","Humanities","Current dollars","75","units","0","v62427585","8.3","10138","","","","0"
"2010/2011","Manitoba","2016A000246","Humanities","Current dollars","75","units","0","v62427585","8.3","10691","","","","0"
"2011/2012","Manitoba","2016A000246","Humanities","Current dollars","75","units","0","v62427585","8.3","10794","","","","0"
"2012/2013","Manitoba","2016A000246","Humanities","Current dollars","75","units","0","v62427585","8.3","11304","","","","0"
"2013/2014","Manitoba","2016A000246","Humanities","Current dollars","75","units","0","v62427585","8.3","11524","","","","0"
"2014/2015","Manitoba","2016A000246","Humanities","Current dollars","75","units","0","v62427585","8.3","11837","","","","0"
"2015/2016","Manitoba","2016A000246","Humanities","Current dollars","75","units","0","v62427585","8.3","13079","","","","0"
"2016/2017","Manitoba","2016A000246","Humanities","Current dollars","75","units","0","v62427585","8.3","13232","","","","0"
"2017/2018","Manitoba","2016A000246","Humanities","Current dollars","75","units","0","v62427585","8.3","13339","","","","0"
"2018/2019","Manitoba","2016A000246","Humanities","Current dollars","75","units","0","v62427585","8.3","14259","","","","0"
"2019/2020","Manitoba","2016A000246","Humanities","Current dollars","75","units","0","v62427585","8.3","14718","","","","0"
"2020/2021","Manitoba","2016A000246","Humanities","Current dollars","75","units","0","v62427585","8.3","15697","","","","0"
"2021/2022","Manitoba","2016A000246","Humanities","Current dollars","75","units","0","v62427585","8.3","16420","","","","0"
"2022/2023","Manitoba","2016A000246","Humanities","Current dollars","75","units","0","v62427585","8.3","17036","","","","0"
"2023/2024","Manitoba","2016A000246","Humanities","Current dollars","75","units","0","v62427585","8.3","17616","","","","0"
"2024/2025","Manitoba","2016A000246","Humanities","Current dollars","75","units","0","v62427585","8.3","18615","","","","0"
"2006/2007","Manitoba","2016A000246","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427586","8.4","7450","","","","0"
"2007/2008","Manitoba","2016A000246","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427586","8.4","8141","","","","0"
"2008/2009","Manitoba","2016A000246","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427586","8.4","8678","","","","0"
"2009/2010","Manitoba","2016A000246","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427586","8.4","10313","","","","0"
"2010/2011","Manitoba","2016A000246","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427586","8.4","10878","","","","0"
"2011/2012","Manitoba","2016A000246","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427586","8.4","10983","","","","0"
"2012/2013","Manitoba","2016A000246","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427586","8.4","11133","","","","0"
"2013/2014","Manitoba","2016A000246","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427586","8.4","11285","","","","0"
"2014/2015","Manitoba","2016A000246","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427586","8.4","11386","","","","0"
"2015/2016","Manitoba","2016A000246","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427586","8.4","12886","","","","0"
"2016/2017","Manitoba","2016A000246","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427586","8.4","13043","","","","0"
"2017/2018","Manitoba","2016A000246","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427586","8.4","13156","","","","0"
"2018/2019","Manitoba","2016A000246","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427586","8.4","14009","","","","0"
"2019/2020","Manitoba","2016A000246","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427586","8.4","14642","","","","0"
"2020/2021","Manitoba","2016A000246","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427586","8.4","15550","","","","0"
"2021/2022","Manitoba","2016A000246","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427586","8.4","16277","","","","0"
"2022/2023","Manitoba","2016A000246","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427586","8.4","17175","","","","0"
"2023/2024","Manitoba","2016A000246","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427586","8.4","17642","","","","0"
"2024/2025","Manitoba","2016A000246","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427586","8.4","18549","","","","0"
"2008/2009","Manitoba","2016A000246","Law","Current dollars","75","units","0","v74039603","8.5","","..","","","0"
"2009/2010","Manitoba","2016A000246","Law","Current dollars","75","units","0","v74039603","8.5","","..","","","0"
"2010/2011","Manitoba","2016A000246","Law","Current dollars","75","units","0","v74039603","8.5","","..","","","0"
"2011/2012","Manitoba","2016A000246","Law","Current dollars","75","units","0","v74039603","8.5","","..","","","0"
"2012/2013","Manitoba","2016A000246","Law","Current dollars","75","units","0","v74039603","8.5","20420","","","","0"
"2013/2014","Manitoba","2016A000246","Law","Current dollars","75","units","0","v74039603","8.5","20724","","","","0"
"2014/2015","Manitoba","2016A000246","Law","Current dollars","75","units","0","v74039603","8.5","","..","","","0"
"2015/2016","Manitoba","2016A000246","Law","Current dollars","75","units","0","v74039603","8.5","23193","","","","0"
"2016/2017","Manitoba","2016A000246","Law","Current dollars","75","units","0","v74039603","8.5","","..","","","0"
"2017/2018","Manitoba","2016A000246","Law","Current dollars","75","units","0","v74039603","8.5","23762","","","","0"
"2018/2019","Manitoba","2016A000246","Law","Current dollars","75","units","0","v74039603","8.5","25362","","","","0"
"2019/2020","Manitoba","2016A000246","Law","Current dollars","75","units","0","v74039603","8.5","26315","","","","0"
"2020/2021","Manitoba","2016A000246","Law","Current dollars","75","units","0","v74039603","8.5","26902","","","","0"
"2021/2022","Manitoba","2016A000246","Law","Current dollars","75","units","0","v74039603","8.5","27917","","","","0"
"2022/2023","Manitoba","2016A000246","Law","Current dollars","75","units","0","v74039603","8.5","28963","","","","0"
"2023/2024","Manitoba","2016A000246","Law","Current dollars","75","units","0","v74039603","8.5","29752","","","","0"
"2024/2025","Manitoba","2016A000246","Law","Current dollars","75","units","0","v74039603","8.5","31462","","","","0"
"2006/2007","Manitoba","2016A000246","Business, management and public administration","Current dollars","75","units","0","v62427587","8.6","9939","","","","0"
"2007/2008","Manitoba","2016A000246","Business, management and public administration","Current dollars","75","units","0","v62427587","8.6","9717","","","","0"
"2008/2009","Manitoba","2016A000246","Business, management and public administration","Current dollars","75","units","0","v62427587","8.6","10700","","","","0"
"2009/2010","Manitoba","2016A000246","Business, management and public administration","Current dollars","75","units","0","v62427587","8.6","12478","","","","0"
"2010/2011","Manitoba","2016A000246","Business, management and public administration","Current dollars","75","units","0","v62427587","8.6","13172","","","","0"
"2011/2012","Manitoba","2016A000246","Business, management and public administration","Current dollars","75","units","0","v62427587","8.6","13207","","","","0"
"2012/2013","Manitoba","2016A000246","Business, management and public administration","Current dollars","75","units","0","v62427587","8.6","13361","","","","0"
"2013/2014","Manitoba","2016A000246","Business, management and public administration","Current dollars","75","units","0","v62427587","8.6","13514","","","","0"
"2014/2015","Manitoba","2016A000246","Business, management and public administration","Current dollars","75","units","0","v62427587","8.6","13855","","","","0"
"2015/2016","Manitoba","2016A000246","Business, management and public administration","Current dollars","75","units","0","v62427587","8.6","15143","","","","0"
"2016/2017","Manitoba","2016A000246","Business, management and public administration","Current dollars","75","units","0","v62427587","8.6","15350","","","","0"
"2017/2018","Manitoba","2016A000246","Business, management and public administration","Current dollars","75","units","0","v62427587","8.6","15462","","","","0"
"2018/2019","Manitoba","2016A000246","Business, management and public administration","Current dollars","75","units","0","v62427587","8.6","16347","","","","0"
"2019/2020","Manitoba","2016A000246","Business, management and public administration","Current dollars","75","units","0","v62427587","8.6","17100","","","","0"
"2020/2021","Manitoba","2016A000246","Business, management and public administration","Current dollars","75","units","0","v62427587","8.6","17949","","","","0"
"2021/2022","Manitoba","2016A000246","Business, management and public administration","Current dollars","75","units","0","v62427587","8.6","18891","","","","0"
"2022/2023","Manitoba","2016A000246","Business, management and public administration","Current dollars","75","units","0","v62427587","8.6","19793","","","","0"
"2023/2024","Manitoba","2016A000246","Business, management and public administration","Current dollars","75","units","0","v62427587","8.6","20366","","","","0"
"2024/2025","Manitoba","2016A000246","Business, management and public administration","Current dollars","75","units","0","v62427587","8.6","21224","","","","0"
"2006/2007","Manitoba","2016A000246","Physical and life sciences and technologies","Current dollars","75","units","0","v62427588","8.7","8320","","","","0"
"2007/2008","Manitoba","2016A000246","Physical and life sciences and technologies","Current dollars","75","units","0","v62427588","8.7","8491","","","","0"
"2008/2009","Manitoba","2016A000246","Physical and life sciences and technologies","Current dollars","75","units","0","v62427588","8.7","9825","","","","0"
"2009/2010","Manitoba","2016A000246","Physical and life sciences and technologies","Current dollars","75","units","0","v62427588","8.7","11574","","","","0"
"2010/2011","Manitoba","2016A000246","Physical and life sciences and technologies","Current dollars","75","units","0","v62427588","8.7","12171","","","","0"
"2011/2012","Manitoba","2016A000246","Physical and life sciences and technologies","Current dollars","75","units","0","v62427588","8.7","12299","","","","0"
"2012/2013","Manitoba","2016A000246","Physical and life sciences and technologies","Current dollars","75","units","0","v62427588","8.7","12353","","","","0"
"2013/2014","Manitoba","2016A000246","Physical and life sciences and technologies","Current dollars","75","units","0","v62427588","8.7","12514","","","","0"
"2014/2015","Manitoba","2016A000246","Physical and life sciences and technologies","Current dollars","75","units","0","v62427588","8.7","13029","","","","0"
"2015/2016","Manitoba","2016A000246","Physical and life sciences and technologies","Current dollars","75","units","0","v62427588","8.7","14424","","","","0"
"2016/2017","Manitoba","2016A000246","Physical and life sciences and technologies","Current dollars","75","units","0","v62427588","8.7","14677","","","","0"
"2017/2018","Manitoba","2016A000246","Physical and life sciences and technologies","Current dollars","75","units","0","v62427588","8.7","14783","","","","0"
"2018/2019","Manitoba","2016A000246","Physical and life sciences and technologies","Current dollars","75","units","0","v62427588","8.7","15779","","","","0"
"2019/2020","Manitoba","2016A000246","Physical and life sciences and technologies","Current dollars","75","units","0","v62427588","8.7","16460","","","","0"
"2020/2021","Manitoba","2016A000246","Physical and life sciences and technologies","Current dollars","75","units","0","v62427588","8.7","17390","","","","0"
"2021/2022","Manitoba","2016A000246","Physical and life sciences and technologies","Current dollars","75","units","0","v62427588","8.7","18029","","","","0"
"2022/2023","Manitoba","2016A000246","Physical and life sciences and technologies","Current dollars","75","units","0","v62427588","8.7","18493","","","","0"
"2023/2024","Manitoba","2016A000246","Physical and life sciences and technologies","Current dollars","75","units","0","v62427588","8.7","18958","","","","0"
"2024/2025","Manitoba","2016A000246","Physical and life sciences and technologies","Current dollars","75","units","0","v62427588","8.7","19943","","","","0"
"2006/2007","Manitoba","2016A000246","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427589","8.8","9046","","","","0"
"2007/2008","Manitoba","2016A000246","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427589","8.8","8397","","","","0"
"2008/2009","Manitoba","2016A000246","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427589","8.8","9519","","","","0"
"2009/2010","Manitoba","2016A000246","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427589","8.8","11489","","","","0"
"2010/2011","Manitoba","2016A000246","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427589","8.8","12085","","","","0"
"2011/2012","Manitoba","2016A000246","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427589","8.8","12213","","","","0"
"2012/2013","Manitoba","2016A000246","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427589","8.8","12515","","","","0"
"2013/2014","Manitoba","2016A000246","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427589","8.8","12285","","","","0"
"2014/2015","Manitoba","2016A000246","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427589","8.8","12750","","","","0"
"2015/2016","Manitoba","2016A000246","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427589","8.8","14293","","","","0"
"2016/2017","Manitoba","2016A000246","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427589","8.8","14454","","","","0"
"2017/2018","Manitoba","2016A000246","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427589","8.8","14759","","","","0"
"2018/2019","Manitoba","2016A000246","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427589","8.8","15831","","","","0"
